ID_REF,pancreatic cancer saliva-1,pancreatic cancer saliva-2,pancreatic cancer saliva-3,pancreatic cancer saliva-4,pancreatic cancer saliva-5,pancreatic cancer saliva-6,pancreatic cancer saliva-7,pancreatic cancer saliva-8,pancreatic cancer saliva-9,pancreatic cancer saliva-10,pancreatic cancer saliva-11,pancreatic cancer saliva-12,Healthy control saliva-1,Healthy control saliva-2,Healthy control saliva-3,Healthy control saliva-4,Healthy control saliva-5,Healthy control saliva-6,Healthy control saliva-7,Healthy control saliva-8,Healthy control saliva-9,Healthy control saliva-10,Healthy control saliva-11,Healthy control saliva-12
212881_at,46.96,52.24,0.96,59.72,35.48,2.28,0.78,0.85,0.68,3.52,3.9,8,56.56,2.99,39.81,8.08,1.65,73.36,0.93,0.44,0.35,16.54,0.49,46.91
212882_at,0.54,0.01,1.23,0,1.17,3.98,0.14,0.54,2.75,1.36,0.01,4.13,5.25,0.92,1.41,0,0.66,4.7,1.62,0.01,0,0.01,0,1.78
212883_at,0.01,0.01,18.56,629.31,79.35,1.93,0.01,23.16,125.45,0,0.01,1,11.54,1186.46,16.32,0.14,16.16,0.01,45.16,90.36,242.18,23.81,38.68,558.14
212884_x_at,22.35,29.86,0,15.69,6.64,0,0,0.03,0.7,0,59.62,0,47.4,47.84,35.02,24.85,4.04,22.76,0,1.19,0.29,2.61,0,3.92
212885_at,25.69,61.07,25.67,7.4,15.35,49.94,53.99,132.56,70.36,2.5,14.53,9.13,28.68,72.46,16.27,20.79,38.79,12.61,9.64,3.71,8.42,2.53,34.89,25.55
212886_at,0,1.66,4.47,0.57,0.6,2.07,1.09,0,3.6,0,0,0,1.29,0.38,2.98,5.56,0,0,0.41,1.28,0,0.18,0.91,0
212887_at,0.13,0,3.44,2.41,1.34,0,3.81,1.44,0,0.12,1.09,0,0.01,3.62,0.65,2.26,0.01,1.31,0.01,0.74,2.78,0,0,1.5
212888_at,0.02,0.82,0.54,0.01,1.12,0,0.01,0,1.29,1.37,2.37,1.67,3.24,0,2.02,0.29,1.49,2.29,0,0,0.4,2.08,10.45,0
212889_x_at,0,0,0,0,2.31,0,0.62,0.01,1.37,1.76,2.89,1.1,2.12,0.86,0,0.04,0,2.69,0,8.77,0.01,0.93,0,0.91
212890_at,98.85,129.51,189.27,126.29,66.7,146.98,158.02,176.39,158.82,98.4,40.87,84.85,75.6,55.66,66.74,152.99,137.95,22.97,140.42,29.15,177.25,31.13,104.75,39.74
212891_s_at,2.89,0,0,0,0,2.22,0,0.34,0.94,0.42,0,0,0,3.52,0,3.6,0,0.89,7.14,1.15,0,1.74,0,0.13
212892_at,0.46,0.15,8.83,0,2.2,3.46,1.38,0.78,1.28,0.04,0,2.82,1.35,6.01,0.4,0,0.51,1.32,0.19,0,0,0.02,0.59,0.45
212893_at,0,2.51,1.47,0.08,0,0,0,0,0,7.38,0.01,0,1.28,0,1.49,3.21,0,0.19,0,0,7.95,0.58,8.76,0
212894_at,4.91,1.24,6.39,7.56,5.05,9.18,1.22,6.9,47.5,2.9,6.06,1.35,4.85,3.95,3.13,2.39,3.11,4.1,8.69,0.22,0.78,3.78,0.01,4.17
212895_s_at,0,1.9,0.02,1.98,4.74,0.33,1.64,4.14,1.25,0.37,0.37,0.23,0,2.94,0.01,0.98,0.24,1.72,0,0,3.63,3.49,4.15,0
212896_at,0,0,0,0,6.85,0,0.07,2.8,3.03,0.96,0.07,1.34,2,0,0.01,2,4.69,1.85,5.25,1.53,0,0,1.85,0.01
212897_at,1.46,0,1.41,0,0.74,3.04,4.15,1.69,0.7,0.85,1.09,0,0,9.03,0,16.33,0,10.91,0,0.3,7.17,2.4,0,1.32
212898_at,2.99,2.53,0,0,0.02,0.85,0,0,3.1,3.88,0,3.22,0,2.65,5.42,0.78,0.99,0.43,0,1.23,1.88,0.14,5.5,1.12
212899_at,1.12,0,9.25,0,1.52,5.79,0,1.34,0,0,0.56,1.33,0.19,0.01,0,3.75,0,2.34,0,2.1,1.25,0.01,3.11,0
212900_at,0.72,2.64,0.49,0,0,3.58,4.59,0,8.05,0.01,0,0.01,1.58,4.67,0.01,1.46,0,0,4.22,4.83,1.91,0.76,6.59,0.03
212901_s_at,0,0,1.72,0,0.74,0,0,0.01,4.8,2.1,0,1.7,0,0.1,0.11,0,0,0,0,5.94,0,0,0,0
212902_at,7.48,16,20.34,3.05,34.28,0,0.91,1.27,0,1.91,2.1,1.75,1.13,0.45,3.92,0.96,0,2.13,9.72,0.55,0,7.68,0,1.65
212904_at,0,0,1.18,2.01,0,0.01,1.71,1.15,1.84,1.86,0,0,0.01,0,1.29,3.32,16.17,2.35,1.01,0.34,0.95,0.05,4.02,0.39
212905_at,3.51,11.93,6.45,9.27,10.41,6.85,15.49,19.07,4.3,8.41,18.72,8.76,8.25,0.04,13.4,2.44,0.08,8.11,1.34,5.04,2.96,12.33,0,0.92
212906_at,2.69,0,1.64,2.2,1.07,0.01,10.82,0.01,0.02,0,0,2.85,0.11,0,1.1,0.01,3.56,2.54,0.39,0.12,0.01,2.04,1.76,0
212907_at,0.02,0,0,4.69,0,0.01,1.37,0.6,7.52,0,0.01,4.79,0.01,1.97,2.19,2,1.33,4.17,3.76,0.52,0,1.44,0.01,2.31
212908_at,3.87,5.48,83.52,3.17,2.97,101.33,43.81,59.8,29.12,5.67,6.23,28.43,2.73,35.01,0.05,74.94,239.97,4.05,140.45,42.41,358.87,1.9,184.57,2.82
212909_at,137.39,122.26,24.15,115.28,93.28,5.71,45.3,46.99,2.69,43.04,92.09,81.65,98.02,118.14,105.79,79.48,40.48,116.38,2.59,4.19,0.64,26.76,26.17,115.79
212910_at,1.7,265.5,0.05,102.9,1.22,109.91,110.72,0.03,0.02,0.1,422.87,52.57,359.67,2.86,329.48,0.08,116.93,169.45,0.04,22.38,77.31,17.38,0.01,15.53
212911_at,0,0,2.79,1.61,0.01,1.26,1.52,0.04,1.94,1.06,0,1.17,0,2.24,1.52,1.18,3.62,0,0,0.01,1.24,1.62,0.01,0.28
212912_at,0,0.28,0,0.23,0.81,1.41,0,0.89,3.09,0.98,0.01,0,0,1.37,6.98,0,0,0.01,0,0.01,1.93,3.29,0,4.91
212913_at,183.03,214.68,142.27,173.5,129.84,215.66,144.91,93.09,221.14,158.58,175.73,89.69,359.54,173.21,231.55,209.11,102.72,329.62,126.01,619.52,185.4,117.5,143.29,221.4
212914_at,0.01,6.31,1.7,0.01,0,3.01,5.14,0.78,0.01,1.1,0,0,0,4.34,1.37,4.46,0.74,3.31,6.61,2.24,1.21,1.11,4.08,8.05
212915_at,3.56,3.36,2.57,0,1.48,0.91,3.45,2.45,0,0.48,6.66,2.19,0.65,0.68,1.61,1.74,6.03,4.26,0.83,0.65,2.25,0.45,0.01,2.75
212916_at,0.06,1.6,0.01,0.49,0.01,5.95,3.33,3.54,3.97,2.12,5.31,0,1.19,3.68,2.72,1.73,1.43,0.65,0.01,1.94,7.82,1.5,4.8,6.24
212917_x_at,1.39,3.79,0,0.41,1.62,0,1.75,0,2.23,2.63,0,0.95,0,0,0,9.27,0,1.48,10.73,0,0,2.84,0.25,0
212918_at,0.54,0,0.54,1.86,1.69,0.31,1.47,1.86,2.43,3.87,0,1.61,0.13,3.03,2.62,2.07,1.21,4.53,0,0.26,0,2.05,0.36,1.29
212919_at,0,0.01,0,4.5,0.01,6.05,0,0.01,4.76,2.17,5.78,4.31,0,2.79,1.14,0,0.66,0,1.43,3.65,0.42,0,3.42,1.68
212920_at,2.96,1.19,1.78,32.57,0,22.58,1.85,0,3.36,2.88,0,0.04,1.45,3.66,0.01,1.89,2.06,3.14,17.12,1.96,0,1.42,0.95,0.01
212921_at,91.56,120.72,16.72,88,97.66,32.65,36.43,43.93,0.78,201.56,78.15,119.64,57.8,198.64,79.9,0.76,10.88,75.19,1.86,16.15,0.67,30.16,3.09,72.51
212922_s_at,862.05,497.99,287.34,450.93,552.38,256.88,316.85,273.12,275.83,290.69,319.36,268.19,493.88,309.18,430.76,286.5,263.63,264.3,241.68,194.61,80.43,183.39,195.43,316.63
212923_s_at,6.67,0.01,3.32,0,2.85,0.85,0,0.81,0,4.44,0.21,0.01,0,0,0.01,0,8.22,3.12,0,0.59,0.26,1.12,3.32,0
212924_s_at,336.49,404.16,154.29,284.39,395.59,144.97,249.87,196.69,97.89,275.3,337.78,341.78,381.65,341.38,368.85,257.01,124.37,52.15,173.89,210.33,130.13,281.9,313.71,438.4
212925_at,0,4.2,0,3.29,0.56,0.98,2.58,1.55,1.48,3.7,1.37,0,0.31,0.13,4.79,0,0,0.46,2.17,0,4.52,3.72,0.92,0.02
212926_at,2.73,2.05,60.69,0.83,0,1.71,6.85,11.41,20.63,4.44,0,0.09,0,6.7,1.34,32.83,16.56,0,0,4.4,0,0.25,0,1.26
212927_at,0,2.79,1.97,0,0,3.38,3.11,0,0,0,1.04,2.15,0,0,3.47,0,0,0,0.16,2.08,0,0.47,5.42,0.87
212928_at,1.59,1.46,0.87,2.96,1,0.63,0.13,0.64,0,0.01,2.68,0,3.45,1.06,1.38,1.42,5.66,1.24,0.01,1.73,0.06,1.98,6.09,2.39
212929_s_at,5.7,1.68,0,4.15,0.66,0.01,5.41,0,1.87,0,0,3.6,0,0,0,1.27,0,0,0,0,0,0,0,0
212930_at,1.82,0,0,0,0,2.17,2.96,0,0,1.99,0,3.47,3.25,0.01,0.01,17.22,2.93,0.01,3.02,0.92,4.64,0.35,3.14,2.38
212931_at,0,0,1.73,0.53,0,1.56,0,2.55,3.02,0.29,2.56,0.71,0,0,0,2.15,2.18,1.8,0,4.96,0.65,0.01,0,0
212932_at,0.69,0,0.36,3.68,0.87,2.83,0,0,3.77,0,3.23,2.75,3.55,2.49,4,5.52,4.99,4.29,2.9,1.47,3.11,0.88,0.33,2.29
212933_x_at,18.44,1.27,10.34,12.43,1.77,1.06,2.44,27.85,14.94,4.4,17.24,9.77,3.27,0.98,8.06,8.24,11.56,0.03,2.91,17.25,9.18,4.6,5.43,0.01
212934_at,0.01,6.76,0,28.28,0,10.24,103.26,0,0.71,13.08,87.19,2.79,0,12.61,12.33,0.02,2.31,0,37.55,0,0,0,71.17,4.39
212935_at,0,2.9,3.22,4.24,0.03,0,0,3.88,1.25,0.69,0.44,0.35,1.53,2.9,4.34,0,0.01,0,0,3.43,0.4,0.01,2.36,6
212936_at,2.13,0.1,1.54,2.25,0.01,5.38,0.46,0,2.27,1.82,3.59,0,0.85,2.97,0.83,2.55,0,0,0,0,1.94,0.44,0.31,4.37
212937_s_at,0,0,5.9,0,3.9,2.11,0,2.77,1.01,0.06,0,1.13,0.68,0,1.24,0,3.36,1.38,0.03,0.75,0,0,0,0.01
212938_at,0.21,3.52,0,0,2.56,0.33,0,4.33,2.66,2.72,2.83,0,3.83,2.23,1.99,5.12,7.68,0.73,1.73,4.13,0,2.11,1.69,4.57
212939_at,30.65,45.15,31.55,45.6,0.03,58.21,78.01,126.9,0.01,30.46,0.02,2.63,18.51,33.77,68.71,12.11,62.62,47.57,0.01,107.14,124.12,17.85,0.01,2.77
212940_at,3,4.98,0,2.89,3.89,0,0.29,2.34,2.2,1.72,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.74
212942_s_at,0,0,1.62,4.12,1.82,0,0,2.6,9.44,0,0,0,0,0,0,0,0,0,0,0.79,6.69,0,0.8,0.22
212943_at,0,0.72,2.37,1.64,0.31,0.33,0,0.91,0,0,2.47,0.07,0,1.43,1.04,1.47,0.18,0,0,0,0,0,0,2.9
212944_at,0,0.88,0,0,0,2.7,2.02,2.75,0.01,0.59,2.9,0.62,0.28,0,0.17,0.16,0,3.79,0,0.43,6.18,0.28,2.15,1.05
