ID_REF,Healthy control saliva-lc1,Healthy control saliva-lc2,Healthy control saliva-lc3,Healthy control saliva-lc4,Healthy control saliva-lc5,Healthy control saliva-lc6,Healthy control saliva-lc7,Healthy control saliva-lc8,Healthy control saliva-lc9,Healthy control saliva-lc10,Lung cancer saliva-1,Lung cancer saliva-2,Lung cancer saliva-3,Lung cancer saliva-4,Lung cancer saliva-5,Lung cancer saliva-6,Lung cancer saliva-7,Lung cancer saliva-8,Lung cancer saliva-9,Lung cancer saliva-10
1561584_at,0.00015687,1.22412,2.33192,0.0563956,2.18627,0.580261,1.00925,0.00220398,0.00417483,0.0658412,0.00478871,1.85178,1.02932,1.71593,0.000754659,0.00166661,0.00134965,0.00052732,0.00121301,0.00110814
1561585_at,0.0000706105,3.81933,2.29644,6.29786,3.68007,0.202395,0.878841,3.35575,0.848229,1.46659,0.00213623,0.00587656,2.06991,0.73225,1.8599,0.0610953,0.313269,0.000434255,9.32467,0.302348
1561587_at,0.000101409,0.0000757158,0.000119536,2.22969,0.00173142,2.38726,0.0135222,0.0027492,1.11754,0.00573762,0.0017252,0.890031,0.002771,2.14068,0.530466,0.00243253,1.57615,0.762899,0.222899,1.92944
1561589_a_at,1.33689,0.000189715,0.000150959,0.480873,0.6356,0.414889,0.00125484,2.28797,0.658556,0.00114846,0.00202092,0.00165801,0.323952,0.00233626,1.2006,0.157015,0.164884,3.73883,0.0013464,0.00226903
1561590_a_at,1.84445,1.86898,0.71414,1.44599,0.472239,0.273312,3.50886,0.00107051,2.4247,1.66858,0.000882442,0.00155386,0.0665013,0.650446,0.494827,0.257984,0.00182436,7.55615,0.458126,1.30246
1561591_at,7.64814,3.47249,1.56383,0.738573,1.71702,1.43486,0.00228991,2.18272,0.788202,0.495394,194.855,49.4168,16.56,92.5334,45.1743,252.604,162.331,210.558,106.24,63.384
1561592_at,1.35155,1.90271,0.00044614,1.56122,1.66294,0.687645,2.92837,0.948703,0.019317,1.06299,0.511172,0.151878,0.00461088,0.000478064,0.864071,0.217441,0.835002,0.75655,2.50358,1.03298
1561593_at,2.28125,1.46011,0.823927,2.38051,0.00062108,2.68342,0.00263358,0.00049858,0.000555006,0.00064947,0.427273,0.00116038,0.764029,1.10818,0.00112701,0.420178,1.37596,1.24818,0.00228027,1.48848
1561595_x_at,30.0346,0.0000651404,2.52159,0.000751754,460.188,128.7,76.177,54.5406,184.943,84.1545,50.7632,65.6224,129.105,114.716,120.177,70.8971,119.605,190.601,144.574,108.073
1561596_at,1.63167,2.20754,1.43152,1.02177,24.5177,0.823194,0.739111,2.67387,1.02635,0.427072,2.08455,0.994287,7.0476,0.00271642,2.57194,1.66838,8.31109,6.94164,3.31584,0.683692
1561597_x_at,2.24181,1.72447,1.82951,0.492554,0.0019569,0.680915,0.563812,0.885569,1.7778,1.58483,1.13058,1.17336,2.67413,0.626996,0.496207,0.851431,0.00173381,1.83329,0.977051,2.34263
1561598_at,182.013,3.56483,1.40555,243.329,64.781,186.365,179.72,171.024,237.447,78.0228,307.749,283.488,258.553,394.342,390.192,659.978,190.117,355.269,235.371,231.397
1561599_at,0.997882,1.14338,1.59089,0.109375,4.86039,0.00138651,0.980921,0.301854,0.000889853,0.0010015,1.07342,0.000677214,2.78092,0.000959281,0.00112597,0.871439,0.000952222,0.00150311,0.00107286,0.00144172
1561600_at,1.113,1.85528,0.000127193,0.0477396,1.90255,0.00469415,0.0028431,1.21061,0.00259589,2.71764,0.947014,0.00440744,0.00456836,0.000773822,1.02056,1.51141,3.93235,0.00480951,0.563192,0.000403058
1561602_at,1.96483,3.98374,1.24291,16.2384,6.00208,0.613684,1.26759,13.1953,8.49984,3.49117,118.968,0.00242148,21.3716,151.314,4.19858,1.73328,13.4518,67.7263,3.58362,5.25087
1561604_at,2.18855,2.16198,2.46195,0.278047,1.47009,0.309851,4.00278,0.721621,1.0475,1.14833,16.6541,1.23676,1.78821,0.653154,0.59871,2.16446,0.41875,0.016417,0.00181999,0.238477
1561605_at,1.60683,4.61568,0.862093,3.2294,0.394642,0.00171634,0.36777,1.02239,0.195034,0.877934,0.161734,3.98158,5.97119,10.6025,1.26339,0.166534,2.05699,0.000881194,31.3546,0.132471
1561606_at,0.904461,1.9225,2.25842,2.57835,0.447635,0.00187155,0.629206,1.66794,0.00101846,0.00709441,0.110554,0.000780983,0.377033,0.000719609,0.000656527,0.386854,4.2213,0.00238349,0.00579053,0.00358065
1561607_at,28.874,5.21795,3.42768,113.621,150.326,29.2466,159.815,73.5422,169.516,117.615,303.181,281.503,258.784,403.457,379.28,720.893,166.632,518.581,521.447,212.046
1561608_at,2.87074,2.05731,2.19366,0.947655,0.126524,3.47243,0.43247,2.43878,12.8078,30.1459,150.188,193.791,69.7761,111.762,47.4704,62.349,50.2415,67.2354,124.583,217.811
1561609_at,4.91423,5.72695,3.34036,37.269,44.7028,2.68251,4.05992,1.84715,0.870784,1.01054,5.56279,2.94638,1.47933,1.21803,4.41969,3.29743,3.01959,3.56565,3.0096,5.79202
1561610_at,51.9195,3.19271,0.61868,70.8341,42.0822,97.9401,255.923,251.137,93.4246,65.5207,0.00324819,1.07247,0.215617,0.413877,0.501909,2.94664,1.15406,2.37837,1.44972,2.11903
1561611_at,0.000722793,2.73169,0.000181925,1.92093,2.61325,2.11573,0.0025515,0.00202263,0.305539,0.00264736,2.29303,0.00124567,0.000790149,1.07064,1.20101,0.181814,0.191506,2.03975,0.0258222,0.395131
1561612_at,11.8417,2.69598,0.00008741,2.74541,7.66914,21.1695,177.205,0.293389,135.583,15.872,328.417,252.711,80.8889,167.992,1.06674,95.0064,125.607,179.651,104.623,84.0058
1561613_at,0.000156149,2.63192,1.67514,0.0423547,0.837086,0.449038,0.000957085,0.694033,0.000542897,2.82619,0.948464,0.00376398,0.00250679,0.651574,0.00100874,2.31547,0.000988304,0.00181056,0.000492946,0.00303413
1561614_at,2.00949,1.65078,2.55218,0.00175207,0.00117324,1.05959,0.00179547,2.83857,0.00431555,0.578279,0.000976025,0.7277,0.00189082,2.18414,0.165004,0.00261336,0.00611007,1.41847,2.84248,0.00139315
1561615_s_at,2.56883,0.00020267,0.000504812,0.000994389,2.18649,0.00396923,0.962162,2.46497,0.212456,0.307845,0.44958,1.11235,0.00322113,0.98143,1.82672,0.588186,3.57822,0.591476,0.90745,0.174394
1561616_a_at,1.48615,4.73971,1.56815,0.273176,0.00108127,0.791063,6.68843,2.93595,2.33387,1.57954,11.5105,4.68521,15.6752,2.25947,7.44838,4.44884,12.2214,1.36041,3.3912,7.40025
1561617_at,1.37884,1.08418,0.000194404,0.000382272,0.000454384,0.000698853,0.000477778,0.000446059,1.63307,0.00078497,0.0025954,0.407149,1.67521,0.143511,0.000980275,2.60125,0.00182721,0.38242,0.00325229,0.735786
1561618_at,1.64202,0.174691,0.00016081,0.00102238,0.000564386,0.00146577,4.58037,0.00346431,0.00115844,0.221059,0.00138937,0.00249309,0.0026735,0.284764,3.8412,0.554135,0.00585645,1.73621,0.246665,0.00343954
1561619_at,0.0000557571,2.37246,0.000189934,6.26539,3.53852,2.21167,0.344251,0.8136,1.08711,1.0732,4.90038,0.00212542,0.661526,1.85039,0.840343,1.25854,0.725168,12.0346,1.46599,0.880174
1561622_at,483.97,226.84,3.69332,267.175,556.758,617.603,612.1,467.862,544.241,640.083,1041.14,985.264,698.901,842.004,997.669,1211.73,775.183,1084.56,772.369,909.471
1561624_at,1.66858,0.000197013,0.000101792,1.33965,0.0338694,1.93315,3.35575,0.725471,0.365297,0.259571,5.02047,0.798758,0.751856,0.540255,0.777758,1.02741,1.5085,1.19208,1.75436,2.72053
1561625_at,1.64439,3.44465,1.05687,4.31704,0.00112925,0.0348843,0.989567,0.309896,0.178254,0.0969828,0.975581,0.846752,0.0860903,0.201184,15.3179,0.000389238,0.000475639,0.478776,0.000554077,0.000547725
1561626_at,0.911189,3.22859,2.41225,1.97508,0.00262987,2.45752,0.141607,0.296391,0.000861553,0.0106011,0.00733887,3.83566,0.478651,0.374366,1.98394,0.322924,0.000736216,0.632811,1.07594,1.73741
1561627_at,1.3024,0.000221991,0.000304383,0.433171,0.0125918,6.36259,0.623467,0.094576,1.69782,3.52288,1.13446,1.74512,0.930011,4.05018,1.93396,0.0043468,0.318731,2.24145,1.09269,0.520194
1561631_at,2.07525,1.64118,1.28675,0.00147596,0.00224,0.0032976,0.00497448,1.61802,1.39342,0.0025686,0.936699,1.19444,1.6519,0.711128,0.145758,0.0966048,2.64733,2.63418,0.167544,0.00513367
1561633_at,1.6256,0.815307,0.0000677789,0.00152068,2.096,0.0964872,0.000518085,0.00176081,0.00278132,0.00135718,0.13195,1.0856,0.162483,0.0055023,2.24628,0.00111337,0.00604411,0.00148125,0.000728362,0.978723
1561635_at,1.65415,0.726772,1.1253,2.0169,0.00184336,0.252213,0.0069541,0.520945,1.87903,1.74701,0.00649839,1.47362,1.92377,0.371263,1.15221,2.52226,0.681721,1.77129,1.23884,0.002877
1561638_at,1.89245,0.000145828,0.702371,0.00121488,0.00241731,0.00422155,0.298696,0.00190677,1.48556,2.30621,2.31452,2.288,0.00160484,0.062643,1.15305,1.82219,0.00107901,0.00176873,0.011379,0.00260509
1561639_at,3.12343,1.68803,1.06435,5.87132,3.64248,1.55163,19.1495,1.12624,1.51543,19.412,28.9695,55.779,17.8332,5.70053,1.01534,161.84,151.293,62.8444,87.2168,66.9803
1561640_at,1.17825,1.47999,0.000112704,0.879801,0.327391,0.00514721,3.31267,1.55663,0.00327246,0.377296,0.00176609,0.00165909,4.86572,0.000987262,0.503981,0.00156672,1.54744,0.00196034,0.856473,0.000735274
1561642_at,1.76677,0.856553,0.000794022,0.253629,0.192753,0.00105586,3.33281,1.61527,0.513237,1.89521,0.394383,1.06757,0.230659,0.662235,1.73979,1.21197,0.00049999,0.00120424,0.000818201,0.000499982
1561644_x_at,1.77249,0.708764,1.22794,0.00124081,1.31091,3.9179,0.000762863,0.00133612,0.563764,0.0473541,0.56011,0.000838026,0.000721653,0.819164,0.00117015,1.66517,0.559174,0.000670558,0.225508,0.00256838
1561650_s_at,2.11705,1.76748,0.0000944219,10.3771,2.92928,1.84817,3.13994,0.000741807,1.25581,0.00166804,2.9156,0.989681,0.449956,2.84489,3.08276,3.90524,3.01077,0.00145324,0.00292086,4.7831
1561651_s_at,1.41739,0.646128,1.06584,1.98012,0.308587,1.27113,0.00312954,0.00156153,0.172292,3.65327,1.18133,0.440246,0.290171,1.25611,0.660394,5.64991,1.15741,1.85186,0.00277982,1.91647
1561652_at,2.76832,1.82071,1.22927,0.96349,0.99783,0.00196672,0.00220657,1.71747,0.00146149,0.82709,0.00386998,0.0761623,0.00241302,1.34126,0.0833986,3.83617,0.673551,0.00919519,0.99259,0.925512
1561653_at,2.11473,1.44338,0.0000587749,0.711761,0.00381885,0.000916962,0.770941,1.11015,0.889194,0.00126824,0.0010463,0.00101782,0.00079542,2.06682,0.000711546,0.00114046,0.000668812,0.000760017,0.000535003,1.941
1561654_at,0.0000911565,1.10165,0.797371,0.000432831,0.000811663,0.000418163,2.57236,0.000261341,0.000470755,0.000325647,0.000759393,1.16113,0.322916,0.00149139,0.552734,0.632704,1.2991,0.000906408,0.220081,0.00111529
1561657_at,149.288,9.78002,2.42741,150.603,1.77157,178.623,201.079,319.616,256.112,467.271,320.085,407.561,424.266,544.956,412.782,692.07,836.92,640.512,670.429,436.746
1561658_at,1.0161,1.95542,2.35504,0.00107465,0.945358,0.000930921,0.463174,0.800042,2.02574,0.00183998,1.15488,0.033339,0.366855,0.113239,0.563155,0.577367,2.19494,0.183358,0.0352116,0.259738
1561660_at,2.33209,2.12741,0.000101453,0.00105957,1.50669,0.00116011,0.000389249,0.00078011,0.00300728,1.45228,0.67442,0.0873554,0.000956286,0.198704,0.000791552,0.000785567,2.78154,0.000711972,0.000718448,0.000528036
1561662_at,2.38207,3.02209,1.96597,2.06345,6.91041,0.963818,1.64542,1.10428,0.451538,1.14618,1.26437,1.33419,1.27063,1.28423,1.70409,1.31348,0.485851,5.31689,1.14801,3.63075
