ID_REF,Breast cancer saliva-1,Breast cancer saliva-2,Breast cancer saliva-3,Breast cancer saliva-4,Breast cancer saliva-5,Breast cancer saliva-6,Breast cancer saliva-7,Breast cancer saliva-8,Breast cancer saliva-9,Breast cancer saliva-10,Healthy control saliva-bc1,Healthy control saliva-bc2,Healthy control saliva-bc3,Healthy control saliva-bc4,Healthy control saliva-bc5,Healthy control saliva-bc6,Healthy control saliva-bc7,Healthy control saliva-bc8,Healthy control saliva-bc9,Healthy control saliva-bc10
228853_at,5.73,0,6.52,8.57,0.03,9,4.09,8.15,0.75,0.17,4.75,2.53,4.13,10.54,6.11,1.04,4.15,2.01,4.82,6.91
228854_at,7.98,0,5.37,0.83,0,3.65,0,0,1.67,0,0,0,8.58,0,0,0.01,0,3.73,4.31,0
228855_at,742.68,882.08,313.43,736.31,1145.01,705.8,1042.86,766.1,777.27,1186.4,874.17,814.05,595.71,610.7,321.91,492.31,715.78,1138.36,495.28,460.31
228856_at,1.93,2.77,0.62,2.46,7.78,0.01,0.26,8.88,0.02,6.39,1.15,1.07,4.85,0.06,7.57,4.87,7.28,3.2,7.4,3.42
228857_at,8.71,2.82,6.17,1.78,1.76,3.38,6.04,0,0.99,2.37,0.73,0.01,13.22,1.91,0.01,3.96,4.7,3.13,5.72,2.37
228858_at,2.95,6.83,7.11,2.15,3.92,0,3.64,36.03,1.8,1.01,3.7,0.08,2.47,5.47,4.56,4,2.56,3.09,0.53,4.64
228859_at,13.89,3.74,21.58,3.24,9.75,5.65,8.5,6.3,0.04,7.57,16.44,14.04,0.01,6.01,14.45,21.72,11.15,35.48,43.97,16.35
228860_at,0.89,5.75,0.46,29.7,8.13,4.98,6.85,55.96,0,4.54,4.43,3.8,4.57,4.05,0,4.47,2.9,3.54,2.92,3.57
228861_at,122.87,77.04,219.56,47.81,49,89.75,59.62,176.68,106.46,135.07,153.66,145.74,53.88,144.82,36.9,87.02,51.81,38.95,334.77,61.4
228862_at,4.81,6.8,3.8,7.28,0,0,0.01,0,2.39,1.36,7.75,1.54,3.03,0.7,2.45,4.06,0.1,0,0.65,0.34
228863_at,0,0,2.17,1.87,0.46,0,0.43,7.15,0.55,0,0.53,3.14,0.94,1.91,4.68,1.62,0.02,0.31,0,2.14
228864_at,0,2.37,3.11,1.05,0.96,0,3.64,0.49,0.92,1.94,11.67,1.83,0,6.36,3.99,0.41,0.54,0.22,0.01,3.76
228865_at,240.32,149.58,156.11,135.12,195.61,131.98,144.17,222.41,415.09,211.92,419.19,376.57,149.9,265.38,317.2,252.53,227.53,199.08,121.93,263.52
228866_at,4.52,7.46,0.01,3.71,0.04,1.9,3.8,3.34,0,5.15,8.58,0,4.18,0,0.41,1.18,0.02,0.01,4.49,0
228867_at,0.6,2.6,2.65,0,0.46,4.94,2.22,0.02,2.56,5.09,1.39,4.27,5.49,0.95,3.28,0,3.13,2,3.2,0.14
228868_x_at,11.12,10,3.51,3.02,5.86,1.43,9.87,3.82,6.66,7.12,2.37,6.09,6.9,7.91,3.54,3.9,2.88,1.88,22.84,0.02
