TMEM67,RBM8A,UBA6,PAPPA,SMEK2,KHDRBS1,YWHAZ,TAX1BP1,BAZ2A,PSMC6,NBAS,EDEM1,FLI1,GPSM3,RYR1,HSPH1,DUT,IKBKB,ITSN2,SLC25A1,HSP90AA1,ZFAND5,MAGEA10,ELL2,HIGD1A,KLF4,ABHD17B,BVES,EVA1A,RP11-53O19.3,Cancer
187.1459,141.9039,344.2189,294.1025,774.3884,2839.739,3079.153,5049.217,1153.144,3989.136,670.8566,574.9495,2981.465,2131.381,431.3968,329.7935,1045.277,1934.532,869.0144,752.47,2235.318,5232.792,174.3399,308.8725,7565.369,333.1201,115.5261,34.0638,71.73221,183.0415,1
216.82,72.16456,52.37205,87.98414,423.8439,6592.565,4020.593,8571.765,819.1806,3208.951,24.01188,36.78185,5777.827,2217.851,287.1808,591.2422,161.4979,1133.444,783.5186,1105.768,2476.174,6005.723,123.177,328.2072,5703.094,492.9908,34.54601,455.9765,107.9689,222.455,1
37.24346,47.17825,387.3174,22.91308,238.9572,6460.184,9525.958,35433.13,357.3443,48843.25,401.1418,402.8514,2322.397,2137.76,195.0813,523.514,811.7742,707.391,2174.643,262.8096,5227.385,7953.519,33.41462,387.6069,37502.3,302.1875,74.68411,259.7827,770.2474,558.2393,1
1116.568,104.9954,112.1344,127.6151,60.63036,1441.538,4450.945,5296.526,935.9198,7998.064,919.5184,1264.186,638.3514,2228.65,68.84261,1589.289,482.9821,821.4256,945.1769,89.68301,4679.872,4782.928,401.0765,637.7949,6013.19,190.8931,207.0775,987.322,148.5766,607.3077,1
604.2451,91.21983,25.58589,58.72791,87.05645,5389.345,9585.902,14013.71,441.4874,17492.39,1250.161,162.4184,251.478,1659.818,52.45333,741.4341,1518.073,2154.479,1553.685,398.4028,2236.508,4687.458,194.0761,88.69904,12160.62,71.43121,369.6481,722.3098,70.55392,491.8011,1
12.96647,53.29851,212.4693,21.3953,113.777,9696.148,8019.495,11614.91,889.639,15840.6,41.70401,384.5414,4417.766,1747.274,140.3288,482.7549,203.6426,751.639,1431.624,137.7539,8156.327,6843.618,617.252,76.27821,23322.57,29.0178,287.8307,19.2481,339.982,119.2275,1
21.56185,42.43917,27.89516,412.1422,707.2173,7277.306,4139.092,7464.233,33.876,3043.52,54.08242,1057.189,3557.923,2127.492,435.246,31.79248,492.9373,1805.356,1581.356,496.2778,6821.204,3626.777,50.57042,386.2198,5157.275,34.81186,526.3265,409.6907,142.2232,450.7862,1
184.6456,57.02807,93.02763,44.80413,315.9487,1723.686,1876.818,5659.416,134.4634,5863.083,1450.695,1047.701,70.86499,2518.489,59.14466,132.4806,133.3516,578.3954,3260.895,391.3527,647.7817,2303.091,127.5569,43.7152,5659.588,117.9835,54.27563,1276.641,884.3571,1112.232,1
29.10564,35.22331,15.19265,955.1782,1178.588,4156.541,4102.404,7369.166,684.3595,15522.58,795.9166,308.3546,3995.573,2726.672,393.2199,55.66019,668.4379,2508.37,752.0509,484.5997,1733.28,8129.555,165.3402,620.6316,13136.22,70.52859,114.8062,618.644,149.0655,197.8044,1
85.47609,69.27285,31.52396,79.7397,28.94606,2535.458,3456.54,8817.523,257.0899,2216.291,186.1248,584.317,3201.54,2860.538,38.17747,24.66338,1347.82,950.2395,1550.891,536.8654,5652.409,4502.105,86.0089,352.0709,10254.27,130.3419,417.584,445.5515,719.1151,610.1528,1
42.74738,89.87827,27.73225,787.1143,57.2422,2691.826,1417.969,6830.834,120.3897,4597.972,118.8619,205.4574,42.15501,622.3341,46.86946,571.6945,952.3283,50.7914,669.8165,68.08513,2071.665,1498.646,279.5757,796.8243,3014.236,436.9895,47.67855,513.6956,114.5864,488.2552,1
34.56466,44.92244,657.9199,87.25773,94.01817,2163.079,4073.436,16456.24,1359.045,22097.85,259.1286,52.22654,423.6541,1236.587,367.7068,567.6732,492.2106,1408.073,265.0937,700.2717,2147.015,7274.63,117.6088,44.94147,14381.47,518.984,195.5274,402.6985,53.08956,166.7519,1
139.7703,39.09875,37.56055,532.7941,32.73726,16236.07,6176.195,10689.75,881.7935,14133.78,171.1244,472.9002,11769.56,2646.535,435.3739,391.3231,180.291,837.9301,1214.931,415.228,6703.235,12172.89,28.3803,190.6145,26894.16,14.07837,104.7412,63.77438,39.08786,172.8031,1
227.9174,82.71825,15.43342,64.49214,780.3563,6151.656,2758.504,6558.202,311.5273,3864.367,717.553,561.3971,4320.027,1651.873,710.924,547.9236,506.7326,627.8377,1133.026,782.2761,8100.084,8300.921,40.10001,409.6491,16543.54,213.5549,190.1618,15.33208,597.7347,575.2679,1
